ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
11,1,59,1,3,3,2,2,2,0,19,12,12,0,12,12,1,2,2,2,0,1,1,2,1,1,2,2,1,2,2,2,1
13,2,61,1,3,9,2,1,1,0,13,12,0,0,0,11,5,-1,1,2,0,0,4,3,2,2,0,0,2,2,2,2,1
16,2,75,1,2,1,4,2,2,0,12,12,12,0,9,12,2,2,2,2,0,1,2,2,1,2,1,0,2,1,1,2,1
21,2,34,1,1,3,1,3,2,1,15,17,0,12,12,12,1,2,1,2,1,2,1,1,3,3,0,0,2,2,2,2,2
24,1,37,1,5,0,0,2,2,0,12,18,18,0,12,12,1,5,2,1,0,1,1,1,1,1,1,1,1,4,4,2,1
25,2,56,1,1,11,3,2,2,0,16,16,16,16,10,12,2,10,2,2,1,2,2,1,1,1,2,2,2,1,1,2,1
27,2,68,1,3,1,3,1,1,0,12,12,12,0,12,12,1,27,2,2,0,1,2,2,1,1,1,2,2,4,2,2,1
34,2,56,1,3,4,0,1,1,0,16,16,0,0,12,12,1,0.25,2,2,0,3,3,2,1,1,1,1,2,4,4,2,1
42,1,52,1,5,1,0,2,2,0,12,10,0,0,12,12,1,14,2,2,0,2,2,2,2,2,0,0,2,1,1,2,2
52,2,42,1,4,2,3,4,2,0,12,6,3,0,12,12,1,5,2,2,0,2,2,3,1,1,1,1,2,1,1,2,1
61,2,27,2,1,10,1,3,2,1,13,12,12,14,3,5,7,-1,2,1,2,0,3,2,2,2,0,0,2,1,1,2,1
63,2,41,2,5,2,0,1,1,0,16,12,12,0,12,12,1,19,2,2,0,2,2,2,1,1,1,1,2,1,1,2,1
